instance,domain,heuristic,plan_length,plan_cost,states_expanded,states_reopened,states_evaluated,evaluations,states_generated,dead_ends,states_expanded_ulj,states_reopened_ulj,states_evaluated_ulj,states_generated_ulj,registered_states,hash_set_load_factor,hash_set_resizes,search_time,total_time,peak_memory
freecell - probfreecell-2-2.pddl,freecell,cg,8,8,9,0,75,75,74,0,0,0,1,0,75,0.585938,7,0.0070034,0.0459909,58568
freecell - probfreecell-2-3.pddl,freecell,add,9,9,10,0,82,82,82,0,0,0,1,0,82,0.640625,7,0.0166599,0.0638036,59192
freecell - probfreecell-2-3.pddl,freecell,cg,9,9,10,0,82,82,82,0,0,0,1,0,82,0.640625,7,0.0084024,0.0513421,68668
freecell - probfreecell-2-4.pddl,freecell,add,8,8,9,0,77,77,76,0,0,0,1,0,77,0.601562,7,0.013006,0.0588196,59200
freecell - probfreecell-2-4.pddl,freecell,cg,8,8,9,0,77,77,76,0,0,0,1,0,77,0.601562,7,0.011023,0.0489165,58568
freecell - probfreecell-2-5.pddl,freecell,add,9,9,10,0,87,87,87,0,0,0,1,0,87,0.679688,7,0.0150011,0.0642252,59204
freecell - probfreecell-2-5.pddl,freecell,cg,9,9,10,0,64,64,64,0,0,0,1,0,64,1,6,0.0118421,0.053941,58596
freecell - p03.pddl,freecell,add,19,19,20,0,120,120,120,0,0,0,1,0,120,0.9375,7,0.01917,0.0411661,57524
freecell - p03.pddl,freecell,cg,19,19,348,5,1144,1144,2494,0,0,0,1,0,1144,0.558594,11,0.0485705,0.0725127,58200
freecell - probfreecell-3-1.pddl,freecell,add,15,15,16,0,191,191,193,0,0,0,1,0,191,0.746094,8,0.0493222,0.120323,60944
freecell - probfreecell-3-1.pddl,freecell,cg,15,15,18,0,138,138,144,0,0,0,1,0,138,0.539062,8,0.0209881,0.086231,66484
freecell - probfreecell-3-2.pddl,freecell,add,14,14,15,0,167,167,168,0,0,0,1,0,167,0.652344,8,0.0400013,0.110446,60932
freecell - probfreecell-3-2.pddl,freecell,cg,14,14,15,0,168,168,169,0,0,0,1,0,168,0.65625,8,0.0289893,0.0969557,73404
freecell - probfreecell-3-3.pddl,freecell,add,14,14,15,0,160,160,163,0,0,0,1,0,160,0.625,8,0.0378576,0.109275,60940
freecell - probfreecell-3-3.pddl,freecell,cg,13,13,14,0,144,144,146,0,0,0,1,0,144,0.5625,8,0.0427183,0.114638,81092
freecell - probfreecell-3-4.pddl,freecell,add,12,12,13,0,149,149,148,0,0,0,1,0,149,0.582031,8,0.0404695,0.11303,60948
freecell - probfreecell-3-4.pddl,freecell,cg,12,12,13,0,149,149,148,0,0,0,1,0,149,0.582031,8,0.020012,0.0807509,68512
freecell - probfreecell-3-5.pddl,freecell,add,15,15,16,0,186,186,191,0,0,0,1,0,186,0.726562,8,0.0405102,0.110773,60940
freecell - probfreecell-3-5.pddl,freecell,cg,14,14,15,0,132,132,134,0,0,0,1,0,132,0.515625,8,0.0239781,0.0819849,62664
freecell - p04.pddl,freecell,add,30,30,95,0,524,524,760,0,13,0,67,100,524,0.511719,10,0.0706307,0.0968147,57960
freecell - p04.pddl,freecell,cg,32,32,1576,1,4786,4786,10938,0,113,0,336,554,4786,0.584229,13,0.181952,0.207343,59700
freecell - probfreecell-4-1.pddl,freecell,add,23,23,24,0,308,308,316,0,0,0,1,0,308,0.601562,9,0.102017,0.196869,62688
freecell - probfreecell-4-1.pddl,freecell,cg,20,20,2043,60,14354,14354,28953,0,0,0,1,0,14354,0.876099,14,0.969783,1.05275,65996
freecell - probfreecell-4-2.pddl,freecell,add,19,19,20,0,269,269,271,0,0,0,1,0,269,0.525391,9,0.0869957,0.180978,62532
freecell - probfreecell-4-2.pddl,freecell,cg,17,17,18,0,184,184,184,0,0,0,1,0,184,0.71875,8,0.0387528,0.124004,74112
freecell - probfreecell-4-3.pddl,freecell,add,20,20,21,0,270,270,273,0,0,0,1,0,270,0.527344,9,0.0910114,0.184764,62524
freecell - probfreecell-4-3.pddl,freecell,cg,19,19,20,0,236,236,237,0,0,0,1,0,236,0.921875,8,0.0477602,0.13716,79664
freecell - probfreecell-4-4.pddl,freecell,add,19,19,20,0,267,267,270,0,0,0,1,0,267,0.521484,9,0.0876742,0.186803,62540
freecell - probfreecell-4-4.pddl,freecell,cg,18,18,19,0,239,239,240,0,0,0,1,0,239,0.933594,8,0.0489463,0.130932,63380
freecell - probfreecell-4-5.pddl,freecell,add,19,19,20,0,254,254,257,0,0,0,1,0,254,0.992188,8,0.0822246,0.175692,62532
freecell - probfreecell-4-5.pddl,freecell,cg,18,18,5491,121,38955,38955,82601,0,5488,121,38951,82596,38955,0.594406,16,3.06859,3.16073,81448
freecell - p05.pddl,freecell,add,37,37,122,6,566,566,842,3,0,0,1,0,566,0.552734,10,0.102377,0.146883,59044
freecell - p05.pddl,freecell,cg,35,35,1873,58,4508,4508,9425,0,0,0,1,0,4508,0.550293,13,0.281076,0.320053,58556
freecell - probfreecell-5-1.pddl,freecell,add,26,26,27,0,393,393,401,0,0,0,1,0,393,0.767578,9,0.179995,0.300477,64664
freecell - probfreecell-5-1.pddl,freecell,cg,24,24,1027812,49181,4289887,4289887,15182255,0,1027804,49181,4289880,15182227,4289887,0.511394,23,624.615,624.714,282672
freecell - probfreecell-5-2.pddl,freecell,add,25,25,26,0,363,363,368,0,0,0,1,0,363,0.708984,9,0.15592,0.280781,64648
freecell - probfreecell-5-2.pddl,freecell,cg,23,23,24,0,302,302,304,0,0,0,1,0,302,0.589844,9,0.0809634,0.174866,63548
freecell - probfreecell-5-3.pddl,freecell,add,26,26,27,0,324,324,326,0,0,0,1,0,324,0.632812,9,0.255543,0.496464,64492
freecell - probfreecell-5-3.pddl,freecell,cg,26,26,771,0,4562,4562,8733,0,0,0,1,0,4562,0.556885,13,0.431105,0.528089,66996
freecell - probfreecell-5-4.pddl,freecell,add,25,25,26,0,351,351,357,0,0,0,1,0,351,0.685547,9,0.166409,0.288472,64640
freecell - probfreecell-5-4.pddl,freecell,cg,23,23,24,0,316,316,318,0,0,0,1,0,316,0.617188,9,0.0772117,0.172202,64496
freecell - probfreecell-5-5.pddl,freecell,add,28,28,35,0,446,446,461,0,0,0,1,0,446,0.871094,9,0.182988,0.303267,64644
freecell - probfreecell-5-5.pddl,freecell,cg,25,25,581250,2286,2501481,2501481,9040093,0,581247,2286,2501478,9040088,2501481,0.5964,22,304.216,304.314,185620
freecell - p06.pddl,freecell,add,41,41,92,0,687,687,846,9,0,0,1,0,687,0.670898,10,0.182662,0.244397,60484
freecell - p06.pddl,freecell,cg,39,39,144,1,645,645,791,0,0,0,1,0,645,0.629883,10,0.0849693,0.150988,79336
freecell - probfreecell-6-1.pddl,freecell,add,32,32,33,0,402,402,406,0,0,0,1,0,402,0.785156,9,0.21246,0.371343,66252
freecell - probfreecell-6-1.pddl,freecell,cg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
